History file written by the McStas component Union_master 
When running with MPI, the results may be from just a single thread, meaning intensities are divided by number of threads
----- Description of the used volumes -----------------------------------------------------------------------------------
V0: Surrounding vacuum 
V1: Sample  Material: Ni   P0: Ni_Incoherent P1: Ni_Phonon P2: Ni_Single_crystal
----- Histories sorted after intensity ----------------------------------------------------------------------------------
34	 N I=1.435861E-05 	 V0 -> V1 -> P2 -> P0 -> P1 -> V0 
5	 N I=1.348642E-05 	 V0 -> V1 -> P1 -> P0 -> P2 -> P2 -> V0 
9	 N I=1.177272E-05 	 V0 -> V1 -> P0 -> P2 -> P2 -> P1 -> V0 
4	 N I=1.008780E-05 	 V0 -> V1 -> P2 -> P0 -> P2 -> P2 -> P2 -> V0 
7	 N I=8.553859E-06 	 V0 -> V1 -> P1 -> P2 -> P0 -> P2 -> V0 
26	 N I=7.187376E-06 	 V0 -> V1 -> P0 -> P1 -> P2 -> V0 
12	 N I=6.729414E-06 	 V0 -> V1 -> P2 -> P1 -> P2 -> P1 -> V0 
12	 N I=6.660569E-06 	 V0 -> V1 -> P2 -> P1 -> P2 -> P0 -> V0 
10	 N I=5.992260E-06 	 V0 -> V1 -> P0 -> P2 -> P1 -> P2 -> V0 
5	 N I=3.585701E-06 	 V0 -> V1 -> P0 -> P0 -> P2 -> P0 -> V0 
7	 N I=2.716612E-06 	 V0 -> V1 -> P2 -> P0 -> P2 -> P1 -> V0 
5	 N I=1.747479E-06 	 V0 -> V1 -> P1 -> P2 -> P0 -> P0 -> V0 
4	 N I=1.642139E-06 	 V0 -> V1 -> P2 -> P2 -> P0 -> P2 -> P2 -> V0 
2	 N I=1.578572E-06 	 V0 -> V1 -> P2 -> P2 -> P2 -> P0 -> P2 -> V0 
4	 N I=1.566987E-06 	 V0 -> V1 -> P2 -> P2 -> P2 -> P2 -> P2 -> P2 -> V0 
11	 N I=1.553810E-06 	 V0 -> V1 -> P0 -> P1 -> P2 -> P2 -> V0 
2	 N I=1.473271E-06 	 V0 -> V1 -> P1 -> P2 -> P0 -> P2 -> P2 -> V0 
5	 N I=1.262882E-06 	 V0 -> V1 -> P1 -> P2 -> P2 -> P2 -> P2 -> V0 
2	 N I=1.229845E-06 	 V0 -> V1 -> P0 -> P2 -> P0 -> P0 -> V0 
2	 N I=1.220515E-06 	 V0 -> V1 -> P2 -> P0 -> P2 -> P2 -> P0 -> V0 
4	 N I=1.111930E-06 	 V0 -> V1 -> P2 -> P2 -> P2 -> P0 -> P0 -> V0 
2	 N I=8.936162E-07 	 V0 -> V1 -> P2 -> P0 -> P0 -> P0 -> V0 
13	 N I=8.537025E-07 	 V0 -> V1 -> P1 -> P2 -> P1 -> P2 -> V0 
5	 N I=7.904126E-07 	 V0 -> V1 -> P0 -> P2 -> P2 -> P2 -> P2 -> P2 -> V0 
2	 N I=6.868770E-07 	 V0 -> V1 -> P2 -> P2 -> P2 -> P2 -> P0 -> P2 -> V0 
4	 N I=6.193419E-07 	 V0 -> V1 -> P0 -> P2 -> P2 -> P2 -> P0 -> V0 
3	 N I=5.567526E-07 	 V0 -> V1 -> P1 -> P0 -> P2 -> P2 -> P2 -> V0 
26	 N I=5.540023E-07 	 V0 -> V1 -> P1 -> P1 -> P2 -> V0 
10	 N I=5.255473E-07 	 V0 -> V1 -> P2 -> P1 -> P0 -> P2 -> V0 
8	 N I=4.640070E-07 	 V0 -> V1 -> P1 -> P2 -> P2 -> P1 -> V0 
1	 N I=4.632173E-07 	 V0 -> V1 -> P1 -> P0 -> P0 -> P2 -> V0 
6	 N I=4.236012E-07 	 V0 -> V1 -> P0 -> P0 -> P2 -> P1 -> V0 
39	 N I=3.722674E-07 	 V0 -> V1 -> P2 -> P1 -> P1 -> V0 
16	 N I=3.428314E-07 	 V0 -> V1 -> P0 -> P0 -> P1 -> V0 
